"Class","Order","Family","Genus"
"alphaproteobacteria","hyphomicrobiales","bradyrhizobiaceae","rhodopseudomonas"
"deltaproteobacteria","myxococcales","polyangiaceae","chondromyces"
"actinomycetia","micrococcales","intrasporangiaceae","terrabacter"
"betaproteobacteria","burkholderiales","burkholderiaceae","burkholderia"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","saccharopolyspora"
"planctomycetia","pirellulales","pirellulaceae","candidatus anammoximicrobium"
"betaproteobacteria","burkholderiales","comamonadaceae","variovorax"
"clostridia","eubacteriales","heliobacteriaceae","heliobacterium"
"gammaproteobacteria","cellvibrionales","cellvibrionaceae","cellvibrio"
"saprospiria","saprospirales","lewinellaceae","lewinella"
"deltaproteobacteria","myxococcales","kofleriaceae","kofleria"
"alphaproteobacteria","caulobacterales","caulobacteraceae","phenylobacterium"
"blastocatellia","blastocatellales","blastocatellaceae","blastocatella"
"alphaproteobacteria","sphingomonadales","sphingomonadaceae","lutibacterium"
"alphaproteobacteria","hyphomicrobiales","boseaceae","bosea"
"actinomycetia","streptosporangiales","thermomonosporaceae","actinocorallia"
"cytophagia","cytophagales","cytophagaceae","rhodocytophaga"
"gammaproteobacteria","oceanospirillales","oceanospirillaceae","amphritea"
"betaproteobacteria","rhodocyclales","zoogloeaceae","thauera"
"alphaproteobacteria","hyphomicrobiales","phyllobacteriaceae","phyllobacterium"
"blastocatellia","blastocatellales","pyrinomonadaceae","pyrinomonas"
"betaproteobacteria","burkholderiales","burkholderiales","thiobacter"
"alphaproteobacteria","sphingomonadales","erythrobacteraceae","erythrobacter"
"alphaproteobacteria","hyphomicrobiales","salinarimonadaceae","salinarimonas"
"bacilli","bacillales","bacillaceae","tepidibacillus"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","actinophytocola"
"nitrospira","nitrospirales","nitrospiraceae","nitrospira"
"cytophagia","cytophagales","hymenobacteraceae","hymenobacter"
"gammaproteobacteria","enterobacterales","enterobacteriaceae","enterobacter"
"alphaproteobacteria","hyphomicrobiales","hyphomicrobiaceae","hyphomicrobium"
"bacilli","lactobacillales","lactobacillaceae","weissella"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","saccharothrix"
"chitinophagia","chitinophagales","chitinophagaceae","sediminibacterium"
"actinomycetia","micrococcales","promicromonosporaceae","promicromonospora"
"anaerolineae","anaerolineales","anaerolineaceae","ornatilinea"
"alphaproteobacteria","hyphomicrobiales","hyphomicrobiales","nordella"
"planctomycetia","isosphaerales","isosphaeraceae","singulisphaera"
"actinomycetia","micrococcales","microbacteriaceae","frigoribacterium"
"actinomycetia","kineosporiales","kineosporiaceae","kineosporia"
"deltaproteobacteria","desulfuromonadales","desulfuromonadaceae","pelobacter"
"gammaproteobacteria","nevskiales","algiphilaceae","algiphilus"
"cytophagia","cytophagales","cytophagaceae","dyadobacter"
"clostridia","eubacteriales","peptococcaceae","desulfotomaculum"
"acidimicrobiia","acidimicrobiales","acidimicrobiaceae","ferrimicrobium"
"sphingobacteriia","sphingobacteriales","sphingobacteriaceae","sphingobacterium"
"deltaproteobacteria","myxococcales","sandaracinaceae","sandaracinus"
"gammaproteobacteria","chromatiales","ectothiorhodospiraceae","ectothiorhodospira"
"alphaproteobacteria","caulobacterales","caulobacteraceae","caulobacter"
"betaproteobacteria","rhodocyclales","rhodocyclaceae","rhodocyclus"
"actinomycetia","cryptosporangiales","cryptosporangiaceae","cryptosporangium"
"betaproteobacteria","nitrosomonadales","nitrosomonadaceae","nitrosospira"
"clostridia","eubacteriales","oscillospiraceae","ruminiclostridium"
"planctomycetia","planctomycetales","planctomycetaceae","planctomyces"
"alphaproteobacteria","hyphomicrobiales","phyllobacteriaceae","mesorhizobium"
"planctomycetia","pirellulales","pirellulaceae","pirellula"
"gammaproteobacteria","xanthomonadales","xanthomonadaceae","pseudoxanthomonas"
"alphaproteobacteria","hyphomicrobiales","brucellaceae","ochrobactrum"
"caldilineae","caldilineales","caldilineaceae","caldilinea"
"actinomycetia","micromonosporales","micromonosporaceae","catelliglobosispora"
"sphingobacteriia","sphingobacteriales","sphingobacteriaceae","mucilaginibacter"
"planctomycetia","pirellulales","pirellulaceae","rhodopirellula"
"gammaproteobacteria","nevskiales","sinobacteraceae","panacagrimonas"
"gammaproteobacteria","enterobacterales","enterobacteriaceae","shigella"
"betaproteobacteria","nitrosomonadales","sulfuricellaceae","sulfuricella"
"deltaproteobacteria","myxococcales","polyangiaceae","aetherobacter"
"gammaproteobacteria","thiotrichales","piscirickettsiaceae","methylophaga"
"bacilli","bacillales","thermoactinomycetaceae","melghirimyces"
"gammaproteobacteria","xanthomonadales","rhodanobacteraceae","dyella"
"gammaproteobacteria","alteromonadales","psychromonadaceae","psychromonas"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","amycolatopsis"
"actinomycetia","micrococcales","intrasporangiaceae","oryzihumus"
"anaerolineae","anaerolineales","anaerolineaceae","thermanaerothrix"
"betaproteobacteria","nitrosomonadales","sterolibacteriaceae","denitratisoma"
"cytophagia","cytophagales","cytophagaceae","sporocytophaga"
"verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","luteolibacter"
"clostridia","eubacteriales","clostridiales family xvii. incertae sedis","thermaerobacter"
"actinomycetia","micromonosporales","micromonosporaceae","micromonospora"
"alphaproteobacteria","rhodospirillales","rhodospirillaceae","dongia"
"fimbriimonadia","fimbriimonadales","fimbriimonadaceae","fimbriimonas"
"alphaproteobacteria","rhodospirillales","acetobacteraceae","roseomonas"
"actinomycetia","micromonosporales","micromonosporaceae","virgisporangium"
"acidimicrobiia","acidimicrobiales","iamiaceae","iamia"
"alphaproteobacteria","hyphomicrobiales","blastochloridaceae","blastochloris"
"actinomycetia","micromonosporales","micromonosporaceae","dactylosporangium"
"chitinophagia","chitinophagales","chitinophagaceae","lacibacter"
"cytophagia","cytophagales","cyclobacteriaceae","algoriphagus"
"clostridia","eubacteriales","lachnospiraceae","lachnoclostridium"
"planctomycetia","pirellulales","lacipirellulaceae","bythopirellula"
"actinomycetia","micrococcales","promicromonosporaceae","cellulosimicrobium"
"chloroflexia","kallotenuales","kallotenuaceae","kallotenue"
"thermomicrobia","sphaerobacterales","sphaerobacteraceae","sphaerobacter"
"gammaproteobacteria","xanthomonadales","rhodanobacteraceae","dokdonella"
"gammaproteobacteria","xanthomonadales","rhodanobacteraceae","frateuria"
"alphaproteobacteria","sphingomonadales","sphingomonadaceae","novosphingobium"
"nitriliruptoria","euzebyales","euzebyaceae","euzebya"
"alphaproteobacteria","hyphomicrobiales","chelatococcaceae","chelatococcus"
"planctomycetia","gemmatales","gemmataceae","gemmata"
"actinomycetia","corynebacteriales","nocardiaceae","rhodococcus"
"deltaproteobacteria","myxococcales","labilitrichaceae","labilithrix"
"planctomycetia","gemmatales","gemmataceae","zavarzinella"
"caldilineae","caldilineales","caldilineaceae","litorilinea"
"actinomycetia","streptosporangiales","thermomonosporaceae","actinoallomurus"
"acidimicrobiia","acidimicrobiales","ilumatobacteraceae","ilumatobacter"
"phycisphaerae","phycisphaerales","phycisphaeraceae","phycisphaera"
"cyanobacteria","oscillatoriales","gomontiellaceae","starria"
"anaerolineae","anaerolineales","anaerolineaceae","anaerolinea"
"anaerolineae","anaerolineales","anaerolineaceae","levilinea"
"deltaproteobacteria","desulfovibrionales","desulfonatronaceae","desulfonatronum"
"alphaproteobacteria","rhodospirillales","acetobacteraceae","rhodopila"
"actinomycetia","micromonosporales","micromonosporaceae","luedemannella"
"verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","roseimicrobium"
"actinomycetia","kineosporiales","kineosporiaceae","angustibacter"
"actinomycetia","streptosporangiales","streptosporangiaceae","nonomuraea"
"cytophagia","cytophagales","hymenobacteraceae","pontibacter"
"alphaproteobacteria","caulobacterales","caulobacteraceae","brevundimonas"
"gammaproteobacteria","chromatiales","thioalkalibacteraceae","thioalkalibacter"
"gammaproteobacteria","cellvibrionales","halieaceae","haliea"
"bacilli","bacillales","bacillaceae","calditerricola"
"alphaproteobacteria","rhodobacterales","roseobacteraceae","donghicola"
"sphingobacteriia","sphingobacteriales","sphingobacteriaceae","solitalea"
"alphaproteobacteria","hyphomicrobiales","afifellaceae","afifella"
"alphaproteobacteria","hyphomicrobiales","amorphaceae","amorphus"
"alphaproteobacteria","rhodospirillales","geminicoccaceae","geminicoccus"
"verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","verrucomicrobium"
"candidatus brocadiae","candidatus brocadiales","candidatus brocadiaceae","candidatus kuenenia"
"cytophagia","cytophagales","hymenobacteraceae","rufibacter"
"ignavibacteria","ignavibacteriales","melioribacteraceae","melioribacter"
"alphaproteobacteria","hyphomicrobiales","parvibaculaceae","anderseniella"
"chitinophagia","chitinophagales","chitinophagaceae","taibaiella"
"alphaproteobacteria","rhodospirillales","geminicoccaceae","candidatus alysiosphaera"
"oligoflexia","oligoflexales","oligoflexaceae","oligoflexus"
"bacilli","lactobacillales","enterococcaceae","enterococcus"
"candidatus brocadiae","candidatus brocadiales","candidatus brocadiaceae","candidatus jettenia"
"cytophagia","cytophagales","flammeovirgaceae","flexithrix"
"sphingobacteriia","sphingobacteriales","sphingobacteriaceae","olivibacter"
"deltaproteobacteria","myxococcales","polyangiaceae","byssovorax"
"alphaproteobacteria","rhodospirillales","acetobacteraceae","paracraurococcus"
"actinomycetia","micromonosporales","micromonosporaceae","asanoa"
"alphaproteobacteria","rhodospirillales","azospirillaceae","niveispirillum"
"flavobacteriia","flavobacteriales","schleiferiaceae","owenweeksia"
"alphaproteobacteria","hyphomicrobiales","alsobacteraceae","alsobacter"
"alphaproteobacteria","hyphomicrobiales","xanthobacteraceae","labrys"
"betaproteobacteria","burkholderiales","alcaligenaceae","achromobacter"
"deltaproteobacteria","desulfobacterales","desulfobulbaceae","desulfobulbus"
"deltaproteobacteria","myxococcales","polyangiaceae","sorangium"
"actinomycetia","glycomycetales","glycomycetaceae","glycomyces"
"betaproteobacteria","rhodocyclales","zoogloeaceae","uliginosibacterium"
"gammaproteobacteria","chromatiales","thioalkalispiraceae","thioalkalispira"
"betaproteobacteria","burkholderiales","oxalobacteraceae","noviherbaspirillum"
"gammaproteobacteria","nevskiales","sinobacteraceae","hydrocarboniphaga"
"betaproteobacteria","burkholderiales","comamonadaceae","curvibacter"
"clostridia","eubacteriales","peptococcaceae","pelotomaculum"
"betaproteobacteria","neisseriales","chromobacteriaceae","formivibrio"
"bacteroidia","bacteroidales","dysgonomonadaceae","dysgonomonas"
"chitinophagia","chitinophagales","chitinophagaceae","hydrotalea"
"betaproteobacteria","burkholderiales","burkholderiales","rhizobacter"
"bacilli","bacillales","paenibacillaceae","paenibacillus"
"alphaproteobacteria","rhodospirillales","acetobacteraceae","acidisphaera"
"bacilli","lactobacillales","lactobacillaceae","lactobacillus"
"gammaproteobacteria","chromatiales","thioalkalispiraceae","thiohalophilus"
"bacilli","bacillales","planococcaceae","planomicrobium"
"deltaproteobacteria","myxococcales","polyangiaceae","polyangium"
"actinomycetia","jatrophihabitantales","jatrophihabitantaceae","jatrophihabitans"
"deltaproteobacteria","syntrophobacterales","syntrophaceae","desulfomonile"
"alphaproteobacteria","hyphomonadales","hyphomonadaceae","hirschia"
"ignavibacteria","ignavibacteriales","ignavibacteriaceae","ignavibacterium"
"deltaproteobacteria","myxococcales","myxococcales","enhygromyxa"
"cyanobacteria","oscillatoriales","microcoleaceae","microcoleus"
"thermotogae","thermotogales","thermotogaceae","thermotoga"
"actinomycetia","micrococcales","microbacteriaceae","yonghaparkia"
"bacilli","bacillales","listeriaceae","listeria"
"alphaproteobacteria","rhodobacterales","rhodobacteraceae","tetracoccus"
"betaproteobacteria","nitrosomonadales","sterolibacteriaceae","georgfuchsia"
"deltaproteobacteria","desulfuromonadales","geobacteraceae","geobacter"
"actinomycetia","acidothermales","acidothermaceae","acidothermus"
"alphaproteobacteria","hyphomicrobiales","methylocystaceae","methylosinus"
"bacilli","lactobacillales","streptococcaceae","streptococcus"
"betaproteobacteria","burkholderiales","burkholderiales","piscinibacter"
"acidobacteriia","bryobacterales","bryobacteraceae","bryobacter"
"gammaproteobacteria","enterobacterales","erwiniaceae","pantoea"
"gammaproteobacteria","orbales","orbaceae","gilliamella"
"alphaproteobacteria","rhodospirillales","stellaceae","stella"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfonema"
"actinomycetia","micromonosporales","micromonosporaceae","allocatelliglobosispora"
"alphaproteobacteria","hyphomicrobiales","brucellaceae","pseudochrobactrum"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","umezawaea"
"alphaproteobacteria","hyphomicrobiales","rhodobiaceae","rhodobium"
"opitutae","puniceicoccales","puniceicoccaceae","cerasicoccus"
"alphaproteobacteria","holosporales","holosporaceae","candidatus gortzia"
"gammaproteobacteria","nevskiales","sinobacteraceae","nevskia"
"chitinophagia","chitinophagales","chitinophagaceae","niabella"
"bacilli","bacillales","alicyclobacillaceae","alicyclobacillus"
"bacilli","bacillales","bacillaceae","caldibacillus"
"alphaproteobacteria","hyphomicrobiales","hyphomicrobiaceae","prosthecomicrobium"
"bacilli","bacillales","staphylococcaceae","staphylococcus"
"alphaproteobacteria","hyphomicrobiales","hyphomicrobiaceae","methyloligella"
"bacilli","bacillales","bacillales","trigonala"
"alphaproteobacteria","hyphomicrobiales","phyllobacteriaceae","thermovum"
"anaerolineae","anaerolineales","anaerolineaceae","longilinea"
"actinomycetia","streptosporangiales","streptosporangiaceae","streptosporangium"
"alphaproteobacteria","rhodobacterales","rhodobacteraceae","paracoccus"
"bacteroidetes","bacteroidetes","bacteroidetes","bifissio"
"bacteroidia","marinilabiliales","prolixibacteraceae","draconibacterium"
"thermodesulfovibrionia","thermodesulfovibrionales","thermodesulfovibrionaceae","thermodesulfovibrio"
"alphaproteobacteria","rhodospirillales","azospirillaceae","azospirillum"
"deltaproteobacteria","myxococcales","polyangiaceae","jahnella"
"flavobacteriia","flavobacteriales","weeksellaceae","chryseobacterium"
"deltaproteobacteria","desulfovibrionales","desulfovibrionaceae","desulfovibrio"
"alphaproteobacteria","rhodobacterales","rhodobacteraceae","albimonas"
"chloroflexia","herpetosiphonales","herpetosiphonaceae","herpetosiphon"
"deltaproteobacteria","myxococcales","anaeromyxobacteraceae","anaeromyxobacter"
"bacteroidia","marinilabiliales","marinilabiliaceae","geofilum"
"alphaproteobacteria","hyphomicrobiales","rhizobiaceae","sinorhizobium"
"alphaproteobacteria","hyphomicrobiales","hyphomicrobiaceae","pedomicrobium"
"oligoflexia","bacteriovoracales","bacteriovoracaceae","peredibacter"
"gammaproteobacteria","xanthomonadales","rhodanobacteraceae","luteibacter"
"actinomycetia","sporichthyales","sporichthyaceae","sporichthya"
"gammaproteobacteria","chromatiales","ectothiorhodospiraceae","halorhodospira"
"candidatus tectomicrobia","candidatus tectomicrobia","candidatus tectomicrobia","candidatus entotheonella"
"actinomycetia","motilibacterales","motilibacteraceae","motilibacter"
"clostridia","thermoanaerobacterales","thermoanaerobacteraceae","moorella"
"betaproteobacteria","nitrosomonadales","thiobacillaceae","thiobacillus"
"verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","prosthecobacter"
"endomicrobia","endomicrobiales","endomicrobiaceae","candidatus endomicrobium"
"betaproteobacteria","rhodocyclales","azonexaceae","azonexus"
"alphaproteobacteria","maricaulales","maricaulaceae","woodsholea"
"flavobacteriia","flavobacteriales","crocinitomicaceae","lishizhenia"
"chloroflexia","chloroflexales","oscillochloridaceae","oscillochloris"
"alphaproteobacteria","hyphomicrobiales","rhodovibrionaceae","limimonas"
"gammaproteobacteria","enterobacterales","enterobacteriaceae","cronobacter"
"actinomycetia","corynebacteriales","nocardiaceae","williamsia"
"gammaproteobacteria","legionellales","coxiellaceae","aquicella"
"gammaproteobacteria","thiotrichales","piscirickettsiaceae","cycloclasticus"
"actinomycetia","streptomycetales","streptomycetaceae","streptacidiphilus"
"gammaproteobacteria","chromatiales","chromatiaceae","halochromatium"
"deltaproteobacteria","myxococcales","nannocystaceae","plesiocystis"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfatiglans"
"betaproteobacteria","burkholderiales","burkholderiaceae","cupriavidus"
"deltaproteobacteria","desulfovibrionales","desulfomicrobiaceae","desulfomicrobium"
"cytophagia","cytophagales","fulvivirgaceae","fulvivirga"
"gammaproteobacteria","nevskiales","sinobacteraceae","solimonas"
"betaproteobacteria","nitrosomonadales","methylophilaceae","methylobacillus"
"alphaproteobacteria","hyphomicrobiales","xanthobacteraceae","xanthobacter"
"oligoflexia","bdellovibrionales","bdellovibrionaceae","bdellovibrio"
"alphaproteobacteria","hyphomicrobiales","hyphomicrobiaceae","methyloceanibacter"
"acidobacteriia","acidobacteriales","acidobacteriaceae","terriglobus"
"gammaproteobacteria","enterobacterales","yersiniaceae","serratia"
"deltaproteobacteria","bdellovibrionales","bdellovibrionaceae","vampirovibrio"
"gammaproteobacteria","chromatiales","ectothiorhodospiraceae","thiohalospira"
"flavobacteriia","flavobacteriales","weeksellaceae","cloacibacterium"
"saprospiria","saprospirales","saprospiraceae","candidatus aquirestis"
"cytophagia","cytophagales","cytophagaceae","cytophaga"
"alphaproteobacteria","hyphomicrobiales","aurantimonadaceae","aureimonas"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","actinomycetospora"
"betaproteobacteria","burkholderiales","comamonadaceae","alicycliphilus"
"alphaproteobacteria","rhodospirillales","rhodospirillaceae","elstera"
"betaproteobacteria","burkholderiales","oxalobacteraceae","duganella"
"actinomycetia","micromonosporales","micromonosporaceae","actinocatenispora"
"deltaproteobacteria","myxococcales","myxococcaceae","myxococcus"
"bacilli","bacillales","paenibacillaceae","ammoniphilus"
"alphaproteobacteria","alphaproteobacteria","alphaproteobacteria","candidatus puniceispirillum"
"deltaproteobacteria","myxococcales","myxococcaceae","corallococcus"
"clostridia","thermoanaerobacterales","thermoanaerobacterales family iv. incertae sedis","mahella"
"alphaproteobacteria","rickettsiales","rickettsiaceae","candidatus cryptoprodotis"
"deltaproteobacteria","syntrophobacterales","syntrophaceae","syntrophus"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulforegula"
"gammaproteobacteria","chromatiales","ectothiorhodospiraceae","alkalispirillum"
"gammaproteobacteria","chromatiales","ectothiorhodospiraceae","thioalbus"
"alphaproteobacteria","hyphomicrobiales","parvibaculaceae","rhodoligotrophos"
"alphaproteobacteria","hyphomicrobiales","rhizobiaceae","ensifer"
"alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingopyxis"
"flavobacteriia","flavobacteriales","crocinitomicaceae","wandonia"
"actinomycetia","propionibacteriales","nocardioidaceae","mumia"
"erysipelotrichia","erysipelotrichales","erysipelotrichaceae","erysipelothrix"
"betaproteobacteria","nitrosomonadales","sterolibacteriaceae","sulfuritalea"
"alphaproteobacteria","rhodospirillales","rhodospirillaceae","inquilinus"
"chthonomonadetes","chthonomonadales","chthonomonadaceae","chthonomonas"
"bacilli","bacillales","alicyclobacillaceae","effusibacillus"
"gammaproteobacteria","pseudomonadales","moraxellaceae","perlucidibaca"
"anaerolineae","anaerolineales","anaerolineaceae","bellilinea"
"alphaproteobacteria","sphingomonadales","sphingomonadaceae","kaistobacter"
"ktedonobacteria","thermogemmatisporales","thermogemmatisporaceae","thermogemmatispora"
"fusobacteriia","fusobacteriales","leptotrichiaceae","sebaldella"
"alphaproteobacteria","alphaproteobacteria","alphaproteobacteria","micavibrio"
"gammaproteobacteria","legionellales","legionellaceae","legionella"
"thermoanaerobaculia","thermoanaerobaculales","thermoanaerobaculaceae","thermoanaerobaculum"
"tissierellia","tissierellales","peptoniphilaceae","anaerococcus"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfosalsimonas"
"candidatus brocadiae","candidatus brocadiales","candidatus brocadiaceae","candidatus scalindua"
"gammaproteobacteria","vibrionales","vibrionaceae","candidatus photodesmus"
"acidobacteriia","acidobacteriales","acidobacteriaceae","candidatus koribacter"
"erysipelotrichia","erysipelotrichales","erysipelotrichaceae","erysipelatoclostridium"
"betaproteobacteria","neisseriales","chromobacteriaceae","chitinibacter"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","allokutzneria"
"gammaproteobacteria","xanthomonadales","xanthomonadaceae","thermomonas"
"alphaproteobacteria","rhodobacterales","rhodobacteraceae","amaricoccus"
"alphaproteobacteria","rhodobacterales","rhodobacteraceae","rhodobacter"
"gammaproteobacteria","xanthomonadales","rhodanobacteraceae","rudaea"
"betaproteobacteria","nitrosomonadales","sterolibacteriaceae","methyloversatilis"
"betaproteobacteria","burkholderiales","comamonadaceae","caldimonas"
"gammaproteobacteria","cellvibrionales","cellvibrionaceae","saccharophagus"
"gammaproteobacteria","enterobacterales","enterobacteriaceae","klebsiella"
"betaproteobacteria","nitrosomonadales","gallionellaceae","candidatus nitrotoga"
"actinomycetia","micrococcales","demequinaceae","demequina"
"alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingobium"
"gammaproteobacteria","pseudomonadales","moraxellaceae","acinetobacter"
"alphaproteobacteria","rickettsiales","anaplasmataceae","wolbachia"
"alphaproteobacteria","hyphomicrobiales","kaistiaceae","kaistia"
"deltaproteobacteria","desulfobacterales","desulfobulbaceae","desulfotalea"
"acidobacteriia","acidobacteriales","acidobacteriaceae","acidicapsa"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfobotulus"
"alphaproteobacteria","hyphomicrobiales","xanthobacteraceae","azorhizobium"
